"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\.claude\settings.local.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\limerence\.github\workflows\pi-web-static-analysis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\limerence\AGENTS.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\limerence\CLAUDE.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 120
"d:\limerence\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 2287, 0, 0, 0, 0, 0, 2, 265, 2554
"d:\limerence\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\limerence\README.md", "Markdown", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 194
"d:\limerence\README_en.md", "Markdown", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 195
"d:\limerence\config\default_character.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\limerence\crates\limerence-ai\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\limerence\crates\limerence-ai\src\client.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 10, 44, 302
"d:\limerence\crates\limerence-ai\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"d:\limerence\crates\limerence-ai\src\stream.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 8, 17, 104
